benchmark,model,question_idx,majority_07,majority_10,flipped,n_samples_07,n_samples_10
BoolQ,GPT-OSS-120B,0.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,1.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,2.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,3.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,4.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,5.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,6.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,7.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,8.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,9.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,10.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,11.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,12.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,13.0,true,false,True,50,50
BoolQ,GPT-OSS-120B,14.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,15.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,16.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,17.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,18.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,19.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,20.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,21.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,22.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,23.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,24.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,25.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,26.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,27.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,28.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,29.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,30.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,31.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,32.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,33.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,34.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,35.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,36.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,37.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,38.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,39.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,40.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,41.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,42.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,43.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,44.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,45.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,46.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,47.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,48.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,49.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,50.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,51.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,52.0,false,true,True,50,50
BoolQ,GPT-OSS-120B,53.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,54.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,55.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,56.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,57.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,58.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,59.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,60.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,61.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,62.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,63.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,64.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,65.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,66.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,67.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,68.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,69.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,70.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,71.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,72.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,73.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,74.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,75.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,76.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,77.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,78.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,79.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,80.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,81.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,82.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,83.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,84.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,85.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,86.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,87.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,88.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,89.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,90.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,91.0,false,false,False,50,50
BoolQ,GPT-OSS-120B,92.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,93.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,94.0,true,true,False,50,50
BoolQ,GPT-OSS-120B,95.0,false,false,False,50,50
